Company,Type,Main Sport Focus,Year Founded,Financials,Ownership Status,Ownership Details,Parent Company,Headquarters,Main Manufacturing,Environmental & Sustainability Policies,Acquisition History,,
Adventure Medical Kits,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
After Bite,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
allmansright,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Aloe Up,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpen Fuel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpha Pak,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpenglow Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpine Fit,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alpine Gremlins,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Alt Route Meals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Amäzi Foods,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
ANDA Ultralight,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Apex Giant,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Arms of Andes,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Atom Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Atwood Rope,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
BearVault,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Beaver Tail Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
BeenCampin,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ben's Tick and Insect Repellent,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Big Agnes,,Camping,2001,Not Available,Privately held,,,"Steamboat Springs, Colorado, USA",Asia (multiple factories),"Sustainability-focused (reducing packaging, etc.)",None,,
Big Sky International,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Black Coffee Roasting Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Black Diamond,,Climbing,1989,Acquired for $90 M in 2010,Public (Clarus Corp),,,"Salt Lake City, Utah, USA",USA & China (facilities in Utah & Zhuhai)&#8203;:contentReference[oaicite:10]{index=10},Environmental commitment (advocacy and impact reduction)&#8203;:contentReference[oaicite:11]{index=11},Acquired Bibler (1997) & Ascension (1999)&#8203;:contentReference[oaicite:12]{index=12}; acquired by Clarus in 2010&#8203;:contentReference[oaicite:13]{index=13},,
Bogler,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Bonfus,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Borvo Broth,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Bowl & Kettle,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brautigam Expedition Works,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brunton,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Brynje,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Canyon Crack,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Carlson Roasting Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cascadia Coffee Roasters,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Chicken Tramper Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
CNOC Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
COBA,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cold Case Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
COROS,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
CuloClean,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Cusa Tea & Coffee,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Dangle Supply,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Darn Tough,,Hiking,2004,$50 M revenue (2016)&#8203;:contentReference[oaicite:15]{index=15},Privately held (family-owned)&#8203;:contentReference[oaicite:16]{index=16},,,"Northfield, Vermont, USA&#8203;:contentReference[oaicite:17]{index=17}","Northfield, Vermont, USA&#8203;:contentReference[oaicite:18]{index=18}","Lifetime guarantee, durable socks&#8203;:contentReference[oaicite:19]{index=19}",None,,
DeliciOats,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
éclipse Sun Products,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
El Coyote Quilts,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Embark,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Enlightened Equipment,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Etowah Outfitters,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Evolved Supply Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
EXPED,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Farm to Summit,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FarPointe Outdoor Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
First Ascent Coffee Roasters,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FLEXTAIL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FlipFuel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Flowfold,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Foot Kinetics,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Fozzils,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
FRACTEL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Frogg Toggs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Fulton,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Garmin,,Biking,1989,$5.23 B revenue (2023)&#8203;:contentReference[oaicite:21]{index=21},Public,(NASDAQ: GRMN),,"Olathe, Kansas, USA&#8203;:contentReference[oaicite:23]{index=23}",Taiwan (90% of production)&#8203;:contentReference[oaicite:24]{index=24},Corporate sustainability initiatives (emissions tracking),"Multiple (e.g., Navigon 2011&#8203;:contentReference[oaicite:25]{index=25}, DeLorme 2016&#8203;:contentReference[oaicite:26]{index=26}, Navionics 2017&#8203;:contentReference[oaicite:27]{index=27})",,
Gear Aid,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Glacial Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Gnara,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Good Detour,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Good To-Go,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Goosefeet Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Gossamer Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Grangers,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
GRAYL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Greenbelly Meals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hammock Gear,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hartford Gear Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hawbuck Wallets,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Heather's Choice,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Helinox,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
High Tail Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hillsound,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hilltop Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Holey Hiker,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Huppy,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
HydroBlu,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
HYKLYF,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Hyperlite Mountain Gear,,Hiking,2010,Not Available,Privately - Venture Backed,Raised $1.1 M venture funding (2018),,"Biddeford, Maine, USA&#8203;:contentReference[oaicite:30]{index=30}","Biddeford, Maine, USA&#8203;:contentReference[oaicite:31]{index=31}",Made in USA; durable ultralight materials,None,,
Igneous,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Itacate,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Jereko Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
JoGo,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Jolly Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Joshua Tree Skin Care,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Kahtoola,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Karen's Naturals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Katabatic Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Katadyn,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Kate's Real Food,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Klymit,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Kuju Coffee,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Kula Cloth,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Lava Linens,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Lawson Equipment,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LEKI,,Skiing,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LEVE Outdoor Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LightHeart Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Lightload,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LifeStraw,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LiteAF,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LOKSAK,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
LUNA Sandals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Matador,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Mayfly Ultralight Equipment,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Mountainsmith,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Move Free Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Mudcat Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Napacks,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Nashville Pack,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
NEMO Equipment,,Camping,2002,Not Available,Privately held,,,"Dover, New Hampshire, USA",International (designed in USA),Committed to repairable & recyclable gear,None,,
Neve,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Nitecore,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Nomad Nutrition,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
No Matter Products,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
norda,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Northern Coffeeworks,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Northern Lites Snowshoes,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
no/W,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ombraz Sunglasses,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
One Bottle Hydration,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Opinel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ounce Design,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Outdoor Element,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
PackbackDesigns,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Packit Gourmet,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
PackTowl,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pa'lante Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Parapack,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Peak First Aid,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pepperwool,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pika Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pillow Strap,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pinnacle Foods,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Platypus,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Poe & Co. Folk Foods,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
PoleClinometer,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Pond's Edge,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
PR Adventure Skirts,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
pStyle,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
QiWiz UL Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Rainy Day Forge,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Range,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Rawlogy,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
RecPak,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Red Paw Packs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Red Spruce Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Rex Creations,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ridge Merino,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
RightOnTrek,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Rite in the Rain,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
RovyVon,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Salsa Queen,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Salty Britches,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Samaya Equipment,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Sambob,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Sawyer,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Sea to Summit,,Camping,1991,"$151 M revenue (2022, est.)&#8203;:contentReference[oaicite:41]{index=41}",Private (Five V Capital majority stake in 2022),,,"Perth (Rivervale), Western Australia",Asia (offices in China),Unknown,None,,
Seattle Gummy Company,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Senchi Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Shamma Sandals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
SilverAnt,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Six Moon Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Skratch Labs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
SkyGoat,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
SlingFin,,Mountaineering,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Smelly Proof,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Snow Peak,,Camping,1958,Not Available,Public,,,family-led,"Sanjo City, Niigata, Japan&#8203;:contentReference[oaicite:46]{index=46}","Japan and overseas (e.g., Vietnam)","Focus on quality, heirloom gear&#8203;:contentReference[oaicite:48]{index=48}",None,
SOL,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
SOTO Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Space Bear Bags,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Spuds Adventure Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
SÜLgear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Suluk 46,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Supai Adventure Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Superfeet,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Symbiosis Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Tailwind,,Biking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Taos Bakes,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Tarptent,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Tater Boost,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Territory Run Co.,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
The Prairie Dog,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Therm-a-Rest,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
ThermoWorks,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
The TentLab,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Thrupack,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Toaks,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
ToughCutie,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Town Shirt,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Trail Butter,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Trail Stuff,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Trailtopia,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Treehouse Originals,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Trekker Joe's,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
uBu Foods,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ultra Gam,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
UltraliteSacks,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Unpaste,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Ursack,,Camping,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Vado Apparel,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Vafels,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Vargo Outdoors,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Vaucluse Backpack Ventilation Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Venture Wipes,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Virginia Foothill Designs,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Voormi,,Skiing,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
WEBO Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Western Mountaineering,,Mountaineering,1970,Not Available,Privately held,,,"San Jose, California, USA&#8203;:contentReference[oaicite:50]{index=50}","San Jose, California, USA&#8203;:contentReference[oaicite:51]{index=51}",Local manufacturing,Long Product Life,None,
WIDE OPEN® Socks,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Wool-it,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
XOSKIN,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
YAMA Mountain Gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
YAR.gear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Yonderwear,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
YourYuckies,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Yumbini,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Yum Pouch,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Zenbivy,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Zoleo,,Hiking,Unknown,Not Available,Unknown,,,Unknown,Unknown,Unknown,None,,
Zpacks,,Hiking,2005,Not Available,Privately held,,,West Melbourne,Florida,USA,USA (Florida),Lightweight gear to reduce material use,None
Dakine,,"Surfing, Snowboarding",,,Private - Private Equity,Owned by Altamont Capital,Altamont Capital,,,,,,